1142,72.5
2804,NA
154,62.5
1220,55.0
678,52.5
2054,60.0
2949,65.0
390,57.5
3029,35.0
257,67.5
1811,62.5
1308,35.0
2359,47.5
2151,22.5
1470,30.0
884,42.5
2282,47.5
3428,57.5
1416,27.5
2828,47.5
3177,60.0
978,37.5
206,32.5
1441,50.0
2800,27.5
391,30.0
2342,30.0
1303,67.5
3030,NA
3240,45.0
736,47.5
3431,62.5
3060,22.5
2695,55.0
1724,NA
2881,37.5
3016,60.0
1050,35.0
2740,42.5
315,15.0
2031,27.5
1603,50.0
3446,52.5
463,55.0
3242,35.0
1823,27.5
1217,65.0
1768,27.5
1756,45.0
1044,NA
1257,47.5
47,70.0
3008,67.5
196,42.5
815,35.0
696,35.0
2838,42.5
2691,45.0
640,57.5
1619,40.0
3116,35.0
3411,NA
1648,37.5
1273,67.5
517,62.5
1399,60.0
1178,72.5
2925,27.5
1261,55.0
3097,62.5
1052,47.5
424,NA
1692,37.5
890,42.5
2550,57.5
796,45.0
2731,47.5
2731,47.5
758,45.0
49,50.0
3458,30.0
2537,NA
555,45.0
2114,55.0
375,65.0
6,40.0
1367,47.5
721,45.0
1380,57.5
1238,42.5
849,NA
53,42.5
1832,55.0
2609,30.0
1044,NA
3027,35.0
3036,52.5
3129,55.0
336,25.0
3466,42.5
2385,NA
2439,55.0
1011,35.0
247,45.0
3320,35.0
1154,35.0
3472,35.0
1272,40.0
1183,62.5
121,67.5
1079,42.5
2576,42.5
746,47.5
2729,47.5
1021,32.5
2795,50.0
322,NA
377,47.5
2683,60.0
2108,17.5
1548,55.0
3164,32.5
2679,42.5
2963,52.5
1091,40.0
1956,20.0
562,50.0
1567,27.5
2956,32.5
2213,25.0
1476,57.5
3489,32.5
1817,32.5
1469,47.5
431,NA
604,47.5
3049,32.5
3440,42.5
1089,NA
2321,62.5
2241,60.0
516,37.5
2487,45.0
2873,27.5
77,50.0
333,NA
2666,47.5
2620,55.0
402,NA
821,45.0
3019,55.0
3093,45.0
1781,45.0
1138,NA
2288,57.5
3062,NA
956,27.5
161,65.0
2857,NA
1480,60.0
2424,NA
1221,47.5
1370,45.0
3167,57.5
823,42.5
1661,57.5
1321,52.5
2969,72.5
1772,50.0
1075,37.5
1998,42.5
1963,47.5
1111,62.5
1755,67.5
2905,57.5
3320,35.0
2658,50.0
428,20.0
1413,60.0
2386,50.0
2297,32.5
2298,75.0
3200,45.0
3444,42.5
208,40.0
3039,50.0
1913,50.0
1655,62.5
2703,62.5
1007,32.5
333,NA
3274,52.5
3379,27.5
2899,55.0
2792,50.0
1874,57.5
3418,27.5
2281,45.0
3028,52.5
1308,35.0
3133,45.0
2695,55.0
3380,35.0
2231,NA
1115,NA
2311,57.5
902,65.0
1067,50.0
1884,NA
92,40.0
2539,67.5
2429,62.5
2871,60.0
342,35.0
2693,45.0
2873,27.5
1841,62.5
1459,47.5
1019,60.0
1283,45.0
865,27.5
2864,45.0
3420,30.0
2428,57.5
911,55.0
682,45.0
933,45.0
3476,50.0
684,52.5
1740,42.5
835,52.5
1761,75.0
1249,42.5
993,42.5
2466,30.0
690,NA
941,40.0
1928,55.0
1819,52.5
3450,52.5
3233,52.5
80,37.5
2543,35.0
2994,80.0
2914,NA
1158,47.5
1706,47.5
890,42.5
2671,65.0
1619,40.0
2632,47.5
3001,65.0
3449,37.5
1647,60.0
2685,50.0
2158,32.5
2079,12.5
3123,NA
1173,37.5
908,60.0
2236,45.0
3493,42.5
3234,47.5
3116,35.0
660,42.5
1598,57.5
3034,40.0
99,60.0
2442,67.5
1140,50.0
521,60.0
3111,47.5
1604,57.5
2008,70.0
707,30.0
2821,60.0
812,60.0
1190,32.5
2846,42.5
1945,67.5
472,NA
2679,42.5
1080,42.5
1172,67.5
3351,47.5
2738,NA
714,50.0
423,50.0
2758,60.0
3372,42.5
3241,50.0
235,50.0
2749,30.0
2506,50.0
1938,67.5
3400,57.5
207,47.5
1078,47.5
42,45.0
2714,42.5
987,62.5
1495,57.5
3438,70.0
1583,37.5
2371,42.5
1254,37.5
164,57.5
1128,45.0
1911,NA
2702,42.5
762,35.0
837,60.0
68,52.5
1889,50.0
3275,47.5
3204,45.0
1635,40.0
967,32.5
2446,65.0
3353,42.5
177,37.5
2069,NA
2585,57.5
2424,NA
1415,62.5
